,index,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
75,75,Bruce Brown,SF,25,BRK,31,17,22.0,2.9,6.0,.492,0.3,1.0,.333,2.6,5.0,.523,.519,0.6,0.8,.750,1.3,3.2,4.4,1.2,1.2,0.5,0.7,2.7,6.8
76,76,Charlie Brown Jr.,SG,24,TOT,6,0,8.5,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.3,0.5,.667,0.2,1.2,1.3,0.3,1.0,0.3,0.3,0.7,1.0
77,77,Charlie Brown Jr.,SG,24,DAL,3,0,5.0,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.7,0.7
78,78,Charlie Brown Jr.,SG,24,PHI,3,0,12.0,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.7,1.0,.667,0.3,2.0,2.3,0.3,1.3,0.3,0.7,0.7,1.3
79,79,Chaundee Brown Jr.,SG-SF,23,TOT,5,2,20.8,2.0,6.4,.313,1.2,3.6,.333,0.8,2.8,.286,.406,1.0,1.2,.833,0.2,3.0,3.2,0.8,0.4,0.0,0.2,1.4,6.2
80,80,Chaundee Brown Jr.,SF,23,LAL,2,0,10.5,0.5,3.5,.143,0.0,1.5,.000,0.5,2.0,.250,.143,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0
81,81,Chaundee Brown Jr.,SG,23,ATL,3,2,27.7,3.0,8.3,.360,2.0,5.0,.400,1.0,3.3,.300,.480,1.7,2.0,.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7
82,82,Greg Brown III,SF,20,POR,15,0,4.9,0.7,1.8,.370,0.0,0.3,.000,0.7,1.5,.455,.370,0.3,0.7,.364,0.5,0.9,1.3,0.3,0.1,0.3,0.3,0.7,1.6
83,83,Jaylen Brown,SF,25,BOS,28,28,34.8,8.9,19.2,.463,2.9,7.7,.381,6.0,11.5,.517,.539,3.8,4.9,.775,0.9,5.7,6.6,3.0,1.1,0.5,3.1,2.7,24.5
84,84,Moses Brown,C,22,DAL,25,1,6.6,1.1,2.0,.540,0.0,0.0,,1.1,2.0,.540,.540,1.1,1.7,.628,0.6,1.7,2.4,0.0,0.1,0.3,0.6,1.1,3.2
85,85,Sterling Brown,SG,26,DAL,33,3,14.8,1.5,3.7,.413,0.8,2.3,.347,0.7,1.4,.522,.521,0.3,0.3,.909,0.6,3.0,3.7,0.9,0.4,0.2,0.6,1.2,4.1
86,86,Troy Brown Jr.,SF,22,CHI,28,1,14.7,1.7,3.9,.431,0.6,1.7,.340,1.1,2.2,.500,.505,0.4,0.6,.750,0.5,2.4,2.9,1.3,0.7,0.1,0.3,0.9,4.4
87,87,Jalen Brunson,PG,25,DAL,40,22,30.9,6.4,12.8,.499,1.1,3.1,.336,5.4,9.7,.552,.540,2.1,2.8,.773,0.6,3.2,3.8,5.6,0.8,0.1,1.7,1.8,16.0
88,88,Thomas Bryant,C,24,WAS,1,0,12.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,1.0,2.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0
89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,Shaq Buchanan,PG,25,MEM,2,0,5.0,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0
91,91,Reggie Bullock,SF,30,DAL,34,13,24.1,2.3,6.1,.377,1.4,4.6,.316,0.9,1.5,.558,.495,0.4,0.5,.765,0.2,2.6,2.9,1.1,0.4,0.1,0.5,1.3,6.4
92,92,Trey Burke,PG,29,DAL,19,0,13.6,2.9,6.7,.430,0.8,2.6,.327,2.1,4.2,.494,.492,0.8,0.9,.941,0.1,1.1,1.2,2.1,0.4,0.0,0.8,1.0,7.5
93,93,Alec Burks,SG,30,NYK,41,17,27.7,3.6,9.3,.388,1.9,4.7,.411,1.7,4.6,.365,.492,2.6,3.2,.823,0.5,3.8,4.3,2.5,1.3,0.3,0.9,2.3,11.8
94,94,Jared Butler,SG,21,UTA,20,1,5.7,0.9,2.6,.346,0.5,1.5,.333,0.4,1.1,.364,.442,0.3,0.5,.667,0.1,0.7,0.8,0.7,0.2,0.3,0.8,1.0,2.6
95,95,Jimmy Butler,SF,32,MIA,23,23,33.8,7.8,15.7,.500,0.5,1.9,.250,7.3,13.7,.535,.515,7.0,8.1,.871,1.9,4.0,5.9,5.4,2.0,0.4,2.0,1.3,23.2
96,96,Devontae Cacok,PF,25,SAS,7,0,8.3,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,0.7,2.3,3.0,0.3,0.6,0.7,0.1,1.1,4.0
97,97,Kentavious Caldwell-Pope,SG,28,WAS,39,39,29.7,4.2,9.9,.419,2.2,5.5,.391,2.0,4.4,.453,.527,1.2,1.4,.868,0.5,3.2,3.7,1.8,1.2,0.4,1.3,1.8,11.6
98,98,Facundo Campazzo,PG,30,DEN,38,4,22.1,2.1,5.6,.379,1.2,3.5,.328,0.9,2.0,.468,.483,1.2,1.4,.815,0.4,1.8,2.2,4.0,1.1,0.5,1.2,2.2,6.5
99,99,Vlatko Čančar,PF,24,DEN,14,1,10.9,1.6,2.8,.564,0.5,0.9,.583,1.1,1.9,.556,.654,0.6,0.9,.750,0.4,1.2,1.6,0.9,0.1,0.2,0.6,0.9,4.3
100,100,Clint Capela,C,27,ATL,36,36,29.7,5.3,9.3,.569,0.0,0.0,.000,5.3,9.3,.571,.569,1.3,2.7,.464,4.2,8.9,13.1,1.4,0.8,1.5,0.6,2.5,11.8
101,101,Vernon Carey Jr.,C,20,CHO,2,1,6.0,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,0.5,0.5,1.000,1.0,0.5,1.5,0.0,0.5,0.0,0.5,0.5,3.5
102,102,Jevon Carter,PG,26,BRK,32,1,11.4,0.9,3.2,.294,0.7,2.4,.299,0.2,0.8,.280,.407,0.1,0.1,.750,0.2,1.3,1.5,0.9,0.4,0.3,0.4,1.0,2.7
103,103,Wendell Carter Jr.,C,22,ORL,37,37,29.4,4.9,10.1,.489,1.2,3.8,.331,3.7,6.4,.583,.551,2.0,2.7,.723,2.2,8.1,10.3,2.7,0.7,0.6,1.6,2.8,13.1
104,104,Alex Caruso,SG,27,CHI,26,9,28.0,2.8,6.3,.448,1.1,3.0,.364,1.7,3.3,.523,.534,1.7,2.0,.830,1.0,2.8,3.7,4.0,2.0,0.3,1.5,2.5,8.4
105,105,Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,.457,0.1,0.1,.500,0.8,1.8,.455,.471,0.1,0.1,.500,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
106,106,Ahmad Caver,PG,25,IND,1,0,1.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
107,107,Justin Champagnie,SF,20,TOR,21,0,7.7,1.1,2.2,.511,0.2,0.7,.333,0.9,1.5,.594,.564,0.4,0.4,1.000,1.3,0.7,2.0,0.2,0.2,0.1,0.1,1.0,3.0
108,108,Zylan Cheatham,SF,26,UTA,1,0,5.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,109,Chris Chiozza,PG,26,GSW,19,1,11.1,0.7,2.7,.275,0.6,1.7,.344,0.2,1.0,.158,.382,0.1,0.1,1.000,0.4,0.8,1.3,1.7,0.4,0.0,0.9,1.1,2.1
110,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,Marquese Chriss,PF,24,DAL,11,0,11.5,2.5,4.3,.596,0.5,1.0,.455,2.1,3.3,.639,.649,0.5,0.9,.600,0.8,2.9,3.7,0.3,0.2,0.4,0.9,2.8,6.1
112,112,Josh Christopher,SG,20,HOU,35,2,16.0,2.6,5.7,.457,0.7,2.1,.347,1.9,3.5,.524,.523,1.1,1.4,.800,0.7,1.3,2.0,1.7,0.8,0.1,1.5,1.2,7.1
113,113,Gary Clark,PF,27,NOP,10,1,11.7,1.3,2.6,.500,1.2,2.3,.522,0.1,0.3,.333,.731,0.2,0.4,.500,0.6,2.0,2.6,0.4,0.3,0.2,0.3,0.2,4.0
114,114,Brandon Clarke,PF,25,MEM,29,0,17.6,4.1,6.3,.647,0.1,0.5,.133,4.0,5.8,.692,.652,1.2,1.8,.654,1.9,3.3,5.2,1.4,0.3,1.0,0.5,1.7,9.4
115,115,Jordan Clarkson,SG,29,UTA,41,0,26.0,5.6,14.0,.401,2.6,8.2,.319,3.0,5.8,.517,.495,1.5,1.9,.789,0.7,2.7,3.4,2.2,0.7,0.2,1.6,1.8,15.3
